Time,Humidity
0.0,60.6
15.0,60.4
75.0,60.1
135.0,59.9
195.0,60.2
255.0,60.7
315.0,60.7
375.0,61.8
435.0,61.8
495.0,62.2
555.0,61.8
615.0,61.7
675.0,61.9
735.0,62.3
795.0,61.9
855.0,61.9
915.0,62.4
975.0,62.6
1035.0,62.9
1095.0,62.9
1155.0,62.8
1215.0,63.6
1275.0,64.0
1335.0,64.4
1395.0,64.0
1455.0,64.2
1515.0,64.4
1575.0,64.5
1635.0,64.4
1695.0,64.7
1755.0,65.2
1815.0,65.2
1875.0,65.6
1935.0,65.8
1995.0,65.9
2055.0,66.2
2115.0,66.2
2175.0,66.2
2235.0,66.3
2295.0,66.3
2355.0,66.1
2415.0,66.5
2475.0,66.4
2535.0,66.0
2595.0,65.9
2655.0,65.8
2715.0,65.6
2775.0,65.7
2835.0,65.7
2895.0,65.9
2955.0,66.0
3015.0,65.9
3075.0,66.3
3135.0,66.2
3195.0,66.3
3255.0,66.2
3315.0,66.4
3375.0,66.5
3435.0,66.6
3495.0,66.7
3555.0,66.6
3615.0,66.9
3675.0,66.9
3735.0,67.1
3795.0,67.5
3855.0,67.7
3915.0,67.6
3975.0,68.0
4035.0,68.4
4095.0,68.6
4155.0,68.6
4215.0,69.0
4275.0,69.3
4335.0,69.5
4395.0,69.8
4455.0,70.0
4515.0,70.3
4575.0,70.3
4635.0,70.1
4695.0,70.2
4755.0,70.1
4815.0,70.3
4875.0,70.4
4935.0,70.8
4995.0,70.8
5055.0,70.9
5115.0,71.2
5175.0,71.4
5235.0,71.4
5295.0,71.5
5355.0,71.6
5415.0,71.7
5475.0,71.3
5535.0,71.6
5595.0,71.6
5655.0,71.6
5715.0,71.4
5775.0,71.6
5835.0,71.8
5895.0,71.2
5955.0,71.4
