Time,Temperature
0.0,30.7
15.0,30.7
75.0,30.5
135.0,30.5
195.0,30.6
255.0,30.6
315.0,30.3
375.0,30.3
435.0,30.3
495.0,30.3
555.0,30.2
615.0,30.8
675.0,30.8
735.0,30.3
795.0,30.6
855.0,30.5
915.0,30.5
975.0,30.2
1035.0,30.2
1095.0,30.2
1155.0,29.9
1215.0,30.2
1275.0,30.0
1335.0,30.2
1395.0,30.1
1455.0,30.0
1515.0,30.0
1575.0,30.0
1635.0,29.9
1695.0,30.2
1755.0,29.9
1815.0,29.7
1875.0,29.6
1935.0,29.6
1995.0,29.4
2055.0,29.6
2115.0,29.6
2175.0,29.6
2235.0,29.5
2295.0,29.9
2355.0,28.8
2415.0,28.8
2475.0,28.6
2535.0,28.8
2595.0,28.8
2655.0,28.6
2715.0,28.4
2775.0,28.6
2835.0,28.6
2895.0,28.5
2955.0,28.5
3015.0,28.4
3075.0,28.4
3135.0,28.3
3195.0,28.2
3255.0,28.4
3315.0,28.2
3375.0,28.3
3435.0,28.3
3495.0,28.5
3555.0,28.4
3615.0,28.3
3675.0,28.3
3735.0,28.1
3795.0,27.8
3855.0,27.8
3915.0,27.8
3975.0,27.8
4035.0,27.8
4095.0,28.0
4155.0,27.9
4215.0,27.9
4275.0,27.8
4335.0,27.7
4395.0,27.6
4455.0,27.4
4515.0,27.5
4575.0,27.6
4635.0,27.7
4695.0,27.7
4755.0,27.7
4815.0,27.8
4875.0,27.5
4935.0,27.5
4995.0,27.5
5055.0,27.3
5115.0,27.3
5175.0,27.5
5235.0,27.7
5295.0,27.3
5355.0,27.5
5415.0,27.4
5475.0,27.4
5535.0,27.1
5595.0,27.3
5655.0,27.5
5715.0,27.6
5775.0,27.5
5835.0,27.4
5895.0,27.5
5955.0,27.2
