Round,Grand Prix,Circuit ID,Circuit Name,City,Country,Date
1,United_States_Grand_Prix,phoenix,Phoenix street circuit,Phoenix,USA,1991-03-10
2,Brazilian_Grand_Prix,interlagos,Autodromo Jose Carlos Pace,Sao Paulo,Brazil,1991-03-24
3,San_Marino_Grand_Prix,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,1991-04-28
4,Monaco_Grand_Prix,monaco,Circuit de Monaco,Monte-Carlo,Monaco,1991-05-12
5,Canadian_Grand_Prix,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,1991-06-02
6,Mexican_Grand_Prix,rodriguez,Autodromo Hermanos Rodriguez,Mexico City,Mexico,1991-06-16
7,French_Grand_Prix,magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,1991-07-07
8,British_Grand_Prix,silverstone,Silverstone Circuit,Silverstone,UK,1991-07-14
9,German_Grand_Prix,hockenheimring,Hockenheimring,Hockenheim,Germany,1991-07-28
10,Hungarian_Grand_Prix,hungaroring,Hungaroring,Budapest,Hungary,1991-08-11
11,Belgian_Grand_Prix,spa,Circuit de Spa-Francorchamps,Spa,Belgium,1991-08-25
12,Italian_Grand_Prix,monza,Autodromo Nazionale di Monza,Monza,Italy,1991-09-08
13,Portuguese_Grand_Prix,estoril,Autodromo do Estoril,Estoril,Portugal,1991-09-22
14,Spanish_Grand_Prix,catalunya,Circuit de Barcelona-Catalunya,Montmelo,Spain,1991-09-29
15,Japanese_Grand_Prix,suzuka,Suzuka Circuit,Suzuka,Japan,1991-10-20
16,Australian_Grand_Prix,adelaide,Adelaide Street Circuit,Adelaide,Australia,1991-11-03
